policy_number,policy_state,policy_csl,policy_deductible,policy_annual_premium,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
547802,IL,250/500,1000,1518.46,2015-01-26,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,2201 4th Lane,16,1,Unknown,0,0,Yes,53500.0,5350.0,5350.0,42800.0,Saab,92x,2015,No
600845,IL,100/300,2000,1540.19,2015-02-01,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,Columbus,5506 Best St,20,1,Yes,2,0,No,73700.0,7370.0,7370.0,58960.0,Chevrolet,Silverado,2001,Yes
390381,OH,500/1000,2000,965.21,2015-02-02,Parked Car,Unknown,Trivial Damage,Unknown,SC,Hillsdale,8404 Embaracadero St,10,1,Unknown,2,1,Yes,6300.0,630.0,630.0,5040.0,Nissan,Ultima,2001,No
629918,IL,100/300,2000,1278.75,2015-02-06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,Unknown,2,2,No,65400.0,10900.0,10900.0,43600.0,Dodge,RAM,2012,No
208298,OH,250/500,1000,773.99,2015-01-01,Vehicle Theft,Unknown,Trivial Damage,Unknown,PA,Springfield,6359 MLK Ridge,3,1,Yes,1,2,No,3200.0,640.0,320.0,2240.0,Mercedes,E400,2014,No
513099,IN,500/1000,1000,1532.47,2015-01-19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,Yes,0,3,Yes,75400.0,7540.0,15080.0,52780.0,Dodge,RAM,2012,Yes
184938,IL,250/500,1000,1340.56,2015-01-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,Yes,0,2,Yes,58140.0,6460.0,6460.0,45220.0,Saab,92x,2008,No
187775,OH,100/300,500,1297.75,2015-02-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,Unknown,0,1,Unknown,98670.0,15180.0,15180.0,68310.0,Chevrolet,Tahoe,2010,Yes
326322,IL,250/500,1000,433.33,2015-01-02,Parked Car,Unknown,Minor Damage,Unknown,SC,Hillsdale,6067 Weaver Ridge,7,1,Unknown,0,3,No,5900.0,1180.0,590.0,4130.0,Mercedes,E400,2009,No
146138,IN,250/500,2000,1025.54,2015-02-20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,Unknown,1,3,Yes,64100.0,6410.0,6410.0,51280.0,Chevrolet,Malibu,2001,No
336047,OH,250/500,500,1264.77,2015-02-05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,Yes,0,1,Unknown,55440.0,5040.0,10080.0,40320.0,Subaru,Forrestor,2009,Yes
532330,OH,250/500,500,1459.97,2015-02-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,No,1,2,No,80850.0,7350.0,14700.0,58800.0,Ford,F150,2011,Yes
118137,OH,100/300,500,1238.65,2015-01-27,Vehicle Theft,Unknown,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,Yes,1,1,No,7480.0,680.0,680.0,6120.0,Saab,95,1998,No
212674,OH,250/500,500,1050.76,2015-01-26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,Unknown,2,3,No,53640.0,5960.0,5960.0,41720.0,Nissan,Maxima,2004,Yes
935596,OH,500/1000,1000,1711.72,2015-01-13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,No,2,2,No,63250.0,5750.0,11500.0,46000.0,Chevrolet,Tahoe,2002,Yes
737593,IL,100/300,500,865.33,2015-01-14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,No,0,1,Unknown,59040.0,9840.0,9840.0,39360.0,Dodge,RAM,1995,No
812025,IL,250/500,500,1153.49,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,Yes,1,0,Yes,50500.0,10100.0,5050.0,35350.0,Acura,TL,2004,No
168151,OH,500/1000,2000,1281.25,2015-01-17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,Yes,0,1,No,57690.0,6410.0,12820.0,38460.0,Mercedes,C300,2010,Yes
594739,IL,100/300,500,1342.8,2015-02-02,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,Yes,1,3,Yes,5940.0,660.0,660.0,4620.0,Toyota,Camry,2014,No
843227,OH,250/500,2000,1443.32,2015-01-07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,Unknown,0,2,Yes,47790.0,5310.0,5310.0,37170.0,Subaru,Impreza,1995,Yes
283925,OH,250/500,1000,1629.94,2015-02-02,Parked Car,Unknown,Trivial Damage,Unknown,SC,Riverwood,7828 Cherokee Ave,17,1,Unknown,0,1,No,3850.0,350.0,350.0,3150.0,Dodge,Neon,2014,No
475588,IL,100/300,2000,1134.08,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,Unknown,2,0,Unknown,59000.0,5900.0,5900.0,47200.0,Ford,Fusion,2013,Yes
751905,OH,250/500,500,1483.91,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,No,0,1,Unknown,70600.0,7060.0,14120.0,49420.0,Volkswagen,Passat,2013,Yes
226725,IN,500/1000,2000,1304.67,2015-01-10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,Unknown,1,1,Unknown,61490.0,5590.0,11180.0,44720.0,Dodge,RAM,2001,No
942504,IL,500/1000,2000,1035.79,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,No,1,0,Yes,57640.0,5240.0,10480.0,41920.0,Volkswagen,Passat,2010,No
395572,IL,250/500,500,1401.2,2015-01-25,Vehicle Theft,Unknown,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,No,1,0,No,6890.0,1060.0,1060.0,4770.0,Audi,A5,1999,No
889883,IL,250/500,1000,1665.45,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,Unknown,2,2,Unknown,53280.0,11840.0,5920.0,35520.0,Toyota,Camry,2006,Yes
818167,IN,500/1000,2000,653.66,2015-02-24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,No,0,0,Unknown,78300.0,15660.0,7830.0,54810.0,BMW,X5,2009,No
277767,OH,100/300,500,1080.13,2015-01-04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,Yes,0,3,No,41490.0,4610.0,4610.0,32270.0,Nissan,Pathfinder,2001,No
842618,IN,100/300,2000,1346.18,2015-02-25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,Yes,2,3,Yes,68970.0,12540.0,6270.0,50160.0,Chevrolet,Tahoe,2007,No
577810,OH,250/500,2000,1589.54,2015-01-27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,Unknown,2,0,Yes,85300.0,17060.0,8530.0,59710.0,Toyota,Highlander,2003,No
873114,IL,100/300,1000,1251.65,2015-02-19,Parked Car,Unknown,Minor Damage,Unknown,NY,Hillsdale,1365 Francis Ave,6,1,No,0,0,No,3080.0,560.0,280.0,2240.0,Audi,A3,2012,No
994538,IL,100/300,2000,1083.01,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,Yes,2,0,Unknown,71760.0,11040.0,11040.0,49680.0,Jeep,Grand Cherokee,2010,Yes
727792,OH,100/300,500,974.59,2015-01-18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,Unknown,1,0,No,59700.0,11940.0,11940.0,35820.0,Nissan,Ultima,2002,No
522506,IL,500/1000,2000,1399.85,2015-01-10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,No,0,2,Unknown,64920.0,10820.0,10820.0,43280.0,Ford,Fusion,1997,No
367595,IN,500/1000,500,1307.74,2015-01-28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,Unknown,0,1,No,37530.0,4170.0,4170.0,29190.0,Jeep,Wrangler,2008,No
586104,IN,250/500,2000,1219.27,2015-02-16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,Yes,1,2,No,64080.0,7120.0,7120.0,49840.0,Saab,93,2012,No
424862,OH,100/300,500,1411.3,2015-02-08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,No,1,0,Unknown,60390.0,10980.0,5490.0,43920.0,BMW,M5,2004,Yes
512813,IL,100/300,2000,694.45,2015-01-20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,Unknown,0,1,Yes,64350.0,5850.0,11700.0,46800.0,Nissan,Pathfinder,2011,Yes
356768,IL,100/300,500,1006.77,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,Yes,2,1,Yes,70900.0,14180.0,7090.0,49630.0,BMW,X6,1997,No
330506,OH,250/500,1000,1422.36,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,No,1,3,Unknown,46560.0,7760.0,7760.0,31040.0,Nissan,Ultima,2012,No
779075,IN,100/300,1000,1348.32,2015-01-14,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,No,2,1,Unknown,4730.0,860.0,860.0,3010.0,Chevrolet,Malibu,2013,Yes
799501,OH,250/500,2000,1315.56,2015-02-18,Vehicle Theft,Unknown,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,Yes,0,0,Yes,6820.0,1240.0,1240.0,4340.0,Jeep,Grand Cherokee,2003,No
987905,OH,250/500,2000,1407.01,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,Unknown,0,2,Unknown,59900.0,11980.0,5990.0,41930.0,BMW,X5,1997,Yes
967756,OH,250/500,2000,1388.58,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,Unknown,1,3,Yes,79560.0,13260.0,13260.0,53040.0,Ford,Escape,2009,No
830414,IL,500/1000,500,1310.76,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,Yes,0,1,Unknown,70290.0,12780.0,6390.0,51120.0,Acura,MDX,2008,No
127313,IN,100/300,1000,1004.63,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,Yes,2,0,No,63910.0,5810.0,11620.0,46480.0,Subaru,Forrestor,1999,No
786957,OH,100/300,500,1134.91,2015-01-29,Vehicle Theft,Unknown,Trivial Damage,Unknown,SC,Riverwood,5901 Elm Drive,6,1,Unknown,1,0,No,6400.0,640.0,640.0,5120.0,Toyota,Camry,1997,No
332892,IN,250/500,1000,1194.0,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,Yes,1,2,Yes,66780.0,7420.0,7420.0,51940.0,Ford,Escape,2013,Yes
448642,IN,500/1000,1000,1248.25,2015-02-01,Parked Car,Unknown,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,No,0,2,Unknown,8760.0,1460.0,1460.0,5840.0,BMW,3 Series,2013,No
526039,OH,100/300,500,1338.54,2015-01-29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,Yes,0,1,Unknown,94160.0,8560.0,17120.0,68480.0,Chevrolet,Malibu,1996,No
444422,IL,250/500,2000,782.23,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,Unknown,0,2,No,51570.0,5730.0,11460.0,34380.0,BMW,X5,2010,No
689500,IL,250/500,2000,1366.9,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,Unknown,1,0,No,52700.0,10540.0,10540.0,31620.0,BMW,X6,2014,Yes
806081,IL,500/1000,1000,1275.81,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,Yes,2,2,Unknown,101010.0,15540.0,15540.0,69930.0,Mercedes,ML350,1998,No
384618,IN,250/500,500,1090.65,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,Unknown,1,2,Yes,53400.0,5340.0,5340.0,42720.0,Honda,Civic,2010,Yes
756459,IN,250/500,500,1326.0,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,Unknown,1,2,No,72120.0,12020.0,12020.0,48080.0,Mercedes,ML350,2009,No
655787,IL,250/500,2000,972.47,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,Yes,2,2,Yes,77100.0,7710.0,15420.0,53970.0,Audi,A3,2010,No
419954,IL,100/300,500,806.31,2015-02-25,Parked Car,Unknown,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,Unknown,2,3,Unknown,3300.0,600.0,0.0,2700.0,Dodge,RAM,2003,No
275092,IL,500/1000,500,1416.24,2015-02-26,Parked Car,Unknown,Minor Damage,Unknown,WV,Northbend,8078 Britain Hwy,7,1,Yes,1,0,Unknown,5940.0,1080.0,540.0,4320.0,Nissan,Pathfinder,2003,No
515698,IN,250/500,2000,1097.64,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,No,1,0,Unknown,63720.0,7080.0,21240.0,35400.0,Acura,TL,2006,No
132871,IL,100/300,500,947.75,2015-02-03,Vehicle Theft,Unknown,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,No,1,3,No,7680.0,1280.0,640.0,5760.0,Audi,A5,2008,No
714929,IL,100/300,2000,1018.73,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,Yes,1,2,Unknown,93730.0,14420.0,21630.0,57680.0,Honda,CRV,2001,No
297816,IL,100/300,2000,1400.74,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,Yes,0,2,Unknown,87300.0,17460.0,17460.0,52380.0,Jeep,Wrangler,2013,No
426708,IL,250/500,500,1155.53,2015-01-24,Parked Car,Unknown,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,Unknown,0,2,No,5670.0,1260.0,630.0,3780.0,Ford,F150,1997,No
615047,IN,250/500,500,1386.93,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,Yes,0,0,No,65800.0,13160.0,6580.0,46060.0,Acura,TL,2001,No
771236,OH,100/300,500,915.29,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,Unknown,2,1,Yes,36720.0,4080.0,4080.0,28560.0,Honda,Accord,2009,Yes
235869,IL,250/500,500,1239.55,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,Unknown,1,1,Yes,52800.0,4800.0,9600.0,38400.0,Mercedes,ML350,1996,Yes
931625,IN,250/500,500,1366.42,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,No,1,2,Yes,59100.0,5910.0,5910.0,47280.0,Nissan,Maxima,1998,Yes
371635,OH,500/1000,1000,1086.48,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,Unknown,1,1,Yes,77440.0,14080.0,7040.0,56320.0,Subaru,Legacy,1999,No
427199,IL,250/500,2000,1247.87,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,No,2,2,No,45700.0,4570.0,4570.0,36560.0,BMW,3 Series,2008,No
261315,OH,100/300,2000,1312.75,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,No,2,2,Yes,80740.0,7340.0,14680.0,58720.0,Toyota,Camry,2014,Yes
582973,IN,100/300,2000,765.64,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,Unknown,0,3,Unknown,31350.0,2850.0,5700.0,22800.0,Honda,Accord,2001,Yes
278091,OH,100/300,2000,1327.41,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,Unknown,0,0,Unknown,35000.0,3500.0,7000.0,24500.0,Subaru,Legacy,2012,No
153154,OH,500/1000,1000,1338.55,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,Unknown,2,2,No,68000.0,13600.0,6800.0,47600.0,Toyota,Corolla,2014,No
515217,IL,250/500,2000,1316.63,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,Yes,2,0,Unknown,84500.0,13000.0,13000.0,58500.0,BMW,X6,2009,No
860497,IL,500/1000,1000,1286.44,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,14,1,No,2,1,Unknown,75500.0,7550.0,15100.0,52850.0,Nissan,Ultima,1998,No
351741,OH,500/1000,1000,1372.18,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,No,1,3,Unknown,90600.0,15100.0,15100.0,60400.0,BMW,X5,2009,No
403737,IN,500/1000,2000,1447.77,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,Yes,1,1,Unknown,64320.0,5360.0,10720.0,48240.0,Acura,MDX,1998,No
162004,IL,250/500,500,903.32,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,Unknown,1,0,Unknown,31700.0,6340.0,3170.0,22190.0,Toyota,Highlander,2006,No
740384,IN,500/1000,1000,1454.42,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,19,1,Yes,0,1,Yes,74280.0,12380.0,12380.0,49520.0,Subaru,Forrestor,2006,Yes
876714,IL,100/300,2000,1603.42,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,17,1,Yes,0,2,Yes,80520.0,13420.0,6710.0,60390.0,Toyota,Corolla,2005,No
951543,IN,250/500,2000,1616.58,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,13,3,Yes,0,3,Yes,63600.0,6360.0,12720.0,44520.0,Dodge,RAM,2010,No
576723,IL,250/500,500,1611.83,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,Unknown,1,2,Yes,32800.0,3280.0,3280.0,26240.0,BMW,3 Series,2012,No
391003,OH,500/1000,500,889.13,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,14,3,No,0,2,No,44190.0,9820.0,4910.0,29460.0,Audi,A3,2015,No
225865,IL,250/500,1000,1252.08,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,4,2,Yes,2,2,No,50400.0,10080.0,5040.0,35280.0,Honda,CRV,2000,Yes
984948,IL,500/1000,2000,995.56,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,1316 Britain Ridge,23,3,Yes,1,1,Yes,88400.0,17680.0,8840.0,61880.0,Nissan,Pathfinder,2010,No
890328,IL,100/300,2000,1347.92,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,21,3,Yes,0,2,Unknown,66550.0,12100.0,6050.0,48400.0,Volkswagen,Jetta,2003,No
803294,IN,100/300,1000,1724.09,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,8917 Tree Ridge,23,3,Yes,0,0,Unknown,65780.0,5980.0,11960.0,47840.0,Chevrolet,Tahoe,2014,No
414913,IN,250/500,500,1379.93,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,3966 Francis Ridge,6,3,Unknown,0,2,Yes,51810.0,9420.0,4710.0,37680.0,Audi,A3,2002,Yes
414519,IN,250/500,1000,1554.64,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,21,1,No,1,0,No,55660.0,5060.0,10120.0,40480.0,Honda,CRV,2009,Yes
818413,OH,500/1000,1000,1377.94,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,23,1,Unknown,2,3,Unknown,44640.0,9920.0,4960.0,29760.0,Toyota,Camry,2005,No
487356,IL,500/1000,2000,1313.33,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,3,Unknown,1,3,No,77660.0,7060.0,14120.0,56480.0,Nissan,Maxima,2004,Yes
159768,IN,250/500,500,1259.02,2015-02-16,Parked Car,Unknown,Trivial Damage,Unknown,SC,Northbend,7529 Solo Ridge,8,1,No,2,2,Unknown,5640.0,940.0,940.0,3760.0,Nissan,Ultima,2005,No
865839,IL,500/1000,1000,1371.88,2015-02-04,Parked Car,Unknown,Trivial Damage,Unknown,VA,Arlington,8096 Apache Hwy,4,1,Unknown,2,2,Unknown,3190.0,580.0,580.0,2030.0,Subaru,Legacy,1995,No
406567,OH,100/300,500,1399.27,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,9417 Tree Hwy,22,1,Unknown,0,0,Yes,53440.0,0.0,6680.0,46760.0,Ford,Escape,2004,No
623032,IL,500/1000,1000,1061.98,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,3809 Texas Lane,16,1,No,0,1,Yes,65250.0,7250.0,7250.0,50750.0,BMW,3 Series,2002,No
935442,OH,250/500,500,1365.46,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,1540 Apache Lane,14,3,No,2,1,No,44280.0,4920.0,4920.0,34440.0,Chevrolet,Silverado,2008,No
106873,IL,500/1000,1000,894.4,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,2337 Lincoln Hwy,13,1,Yes,2,0,No,70290.0,7810.0,7810.0,54670.0,Dodge,RAM,1999,No
563878,IN,250/500,500,956.69,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,6770 1st St,20,1,Unknown,1,1,Yes,87100.0,8710.0,8710.0,69680.0,Saab,92x,2000,No
620855,IN,500/1000,2000,1123.89,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,4119 Texas St,0,3,Unknown,1,3,Unknown,50380.0,4580.0,4580.0,41220.0,Subaru,Forrestor,1996,No
583169,IL,100/300,500,1085.03,2015-03-01,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,4347 2nd Ridge,23,3,Yes,2,2,No,64800.0,12960.0,6480.0,45360.0,Audi,A3,2014,Yes
337677,OH,100/300,2000,1437.33,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,13,1,Yes,1,3,No,70400.0,12800.0,12800.0,44800.0,BMW,3 Series,2000,No
445973,IL,250/500,1000,988.29,2015-02-02,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8203 Lincoln Ave,8,1,Unknown,2,2,Yes,57860.0,0.0,10520.0,47340.0,Subaru,Impreza,2008,Yes
156694,IL,500/1000,500,1238.89,2015-01-31,Vehicle Theft,Unknown,Minor Damage,Unknown,WV,Northbend,9154 MLK Hwy,3,1,Unknown,0,3,No,6240.0,960.0,960.0,4320.0,Ford,Fusion,2011,No
421940,IN,100/300,1000,1384.64,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,5780 4th Ave,16,1,Unknown,2,3,No,66600.0,16650.0,11100.0,38850.0,Jeep,Grand Cherokee,2012,Yes
613226,IN,100/300,2000,1595.07,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,6945 Texas Hwy,19,1,Yes,0,2,Yes,70920.0,11820.0,11820.0,47280.0,Jeep,Wrangler,2002,No
804410,OH,250/500,1000,1127.89,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,5639 1st Ridge,0,1,Yes,2,0,Yes,39480.0,6580.0,6580.0,26320.0,Subaru,Forrestor,2002,No
553565,IN,500/1000,2000,929.7,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,3834 Pine St,12,1,Unknown,2,2,Yes,63240.0,10540.0,5270.0,47430.0,Mercedes,E400,2005,No
399524,IL,100/300,1000,1829.63,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,1358 Maple St,21,3,Yes,1,0,Unknown,67650.0,12300.0,6150.0,49200.0,Audi,A5,2009,No
331595,IL,100/300,1000,904.7,2015-02-17,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,Unknown,1,3,No,74200.0,14840.0,14840.0,44520.0,Acura,TL,2002,Yes
380067,OH,500/1000,1000,1243.84,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,5771 Sky Ave,22,1,Yes,1,3,No,64900.0,12980.0,12980.0,38940.0,Volkswagen,Jetta,2011,No
701521,IL,500/1000,2000,1030.95,2015-02-03,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,2865 Maple Lane,20,3,Unknown,1,0,No,35900.0,7180.0,3590.0,25130.0,Audi,A3,2007,Yes
360770,IN,100/300,500,1285.03,2015-02-03,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,8940 Elm Ave,0,1,No,1,3,Unknown,52200.0,5220.0,10440.0,36540.0,Honda,CRV,2011,No
958785,OH,100/300,500,1216.56,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1215 Pine Hwy,20,1,Unknown,0,2,No,78000.0,6500.0,13000.0,58500.0,Subaru,Forrestor,2000,No
